ID,original_ID,tweet,sarcastic,rephrase
13950,train_448,So weird how Venmo hasn’t venmoed me yet really thought I was the one,1,there is no way I would win a contest that millions of people are entering 
12886,sign_9468, so thrilled to have class lab from 9 am 4 pm tomorrow,1, tomorrow is going to be a long day
9362,sign_7785, wow emilia clarke's part in this episode must have been so difficult and time consuming,1, emilia clark's scene must have been easy
2412,train_2338,finally got a shamrock shake😍☘,0,
12425,sign_10836, lrt next the lapd will tell us he was simply at the wrong place at the wrong time,1, lrt next the lapd will tell us he was simply at the wrong place at the wrong time
1862,sign_12587, i don't know about you but i certainly take people more seriously when they type in caps,1, certainly don t take people more seriously when they type in caps
2575,sign_9378, spelled broth brotch today is a good day,1, i can't spell today
3676,train_1993,When I tell yall I am SOOOOOO fed up with #MainStreetRenewal I mean that!!!!!!!!!!!! Thank GOD we're reaching the end of our lease!!!!!,0,
13185,test_a_95,"just finished such a long, 12 hour shift with no breaks. Tired is an understatement",0,
5762,sign_533, good job mo just what we need people carrying guns on college campuses that will make everyone safer,1, unpresentable job mo we don t need people like you carrying guns on college campuses to make everyone scared
480,sign_10245, obama and madonna on jimmy fallon tonight sounds like a must see,1, madonna and obama on jimmy fallon tonight and i don t care
616,sign_14374, also gotta move a piano as well joy,1, also gotta move a piano as well annoyed
6571,sign_9807, right so i live in the state with both the highest unemployment rate and worst credit in the nation yay,1, so i live in the state with both the highest unemployment rate and worst credit in the nation bummer
17401,train_762,safe to say my life is a lot better https://t.co/pE5isUMOpk https://t.co/K2hep49TcF,1,I started the year completely dependent on someone else and ended it entirely dependent on myself for the first time in my life
14875,train_1738,going off priv to enter a discord sweepstakes,0,
6378,sign_8699, tigers score 11 yesterday and 0 through 8 today i'm shocked,1, tigers score 11 yesterday and 0 through 8 today i'm not surprised
14031,sign_12838, hey in good news we can now go back to pretending rape isn't really a problem anymore,1, rape is a horrible things and people need to understand this
12400,sign_9966, party hard this friday,1, i'm going to bed early this friday
10155,sign_10092, oh you wouldn't date a bisexual guy because bi isn't a real sexuality to you ? what a loss for all bi guys that is,1, oh you would date a bisexual guy because bi is a real sexuality to you ? what a gain for all bi guys that is
11233,test_a_718,It’s just getting a bit awkward innit….,0,
12029,sign_13441, eric campbell was an everyday player and suddenly he s demoted ?,1, he's a horrible player and deserves it
16954,test_a_584,Neil you need to stop putting nonsense like this out what medical qualifications have you got why all know that these vaccines reduce deaths by a large margin,0,
8998,sign_7606, yes my friends let us band together to be furious about the homophobia of the spn and 1 oo noms no seriously let s,1, yes my friends let us band together to be furious about the homophobia of the spn and 1 oo noms no seriously let s
12502,train_2992,Dan Smith playing oblivion on his IG live has absolutely topped my week off 🥺,0,
15693,train_1751,"In desperate need of 1 final spoon code. Been searching shops desperately for the last few weeks without luck. Please, please send me a code",0,
4821,sign_3549, i absolutely love how my mom doesn't believe a damn word i say,1, i really don't like how my mom doesn't believe a damn word i say
5854,train_2979,"@SenRickScott @marcorubio 
Doctors today are what first responders were after 9/11. They need our support, and Congress has to support doctors in the next coronavirus emergency funding bill by ending surprise medical bills with an independent dispute resolution system.",0,
4436,train_2183,The greatest! RIP :( https://t.co/FhSK12JNRQ,0,
4496,sign_2181, best part is i don't even have the 8 bucks to go get a new one at tiger mart hell week just got a little bit better,1, worst part is i don't even have the 8 bucks to go get a new one at tiger mart hell week just got a little bit worse
4106,sign_110, another junior report i just love those things,1, another junior report i hate those things
15249,sign_10258, nvm i'm getting mary jo thx for the help,1, i was hoping someone would help me out
14383,train_3310,"i asked my swimmer @ the end of his swim lesson today what his favorite part was &amp; he said “going under the rope. it was scary, but i knew i could do hard things.” 🥺🤍",0,
4127,sign_7213, can't wait to go to the fez in acouple hours,1, i really don t feel like going to the fez
15731,sign_2158, belle under a sleeping curse oh no,1, belle under a sleeping curse oh yes
786,sign_5082, if you love your life love your wife P,1, if you love your life love your wife P
4128,sign_4702, it's on the internet so it must be true,1, it doesn't mean it is true if it is on the internet
5478,sign_3475, i customers,1, i customers
11802,sign_14259, as sure af this world needs a lot more super skinny models who look like a 12 yo kiddo if you don't get it btw,1, as sure af this world doesn't need a lot more super skinny models who look like a 12 yo kiddo
4184,train_3409,"""Jane the Virgin"" using the Meisner repetition exercise as a psychology technique. Haha! Love it!!",0,
15338,sign_6552, nothing like waking up on a monday and realizing there's no car so you gotta walk 40 minutes to school,1, can it be worse than waking up on monday and realizing that you have to walk 40 minutes to school
15383,sign_13808, clean files and saw notes from old job my supervisor at the time taught me so much how to not treat people i should thank him,1, my supervisor wasn't helpful
1272,sign_6791, so buzzing for that three hour exam tomorrow yay,1, so buzzing for that three hour exam tomorrow ugh
14703,train_2134,"checked ring footage last eve. shoutout to unknown neighbor who, despite being very pregnant and walking around icy sidewalks, drove to my house and delivered three of my UPS packages wrongly delivered to her. Not that she knew, but it was over $100 worth of stuff! 🙏🏻",0,
12852,sign_5636, internet down at work looks like today will be full of filing yay,1, internet down at work is something which i cannot just stand
917,sign_2305, the fear of deportation if trump wins has caused an increase in citizenship applications this man is a genius,1, the fear of deportation if trump wins has caused an increase in citizenship applications this man is cracy
4589,sign_6133, got a viral infection joy,1, so sad i have a viral infection
8551,train_471,Who's ready for monsoon storms allllll weekend?!?!,1,There are going to be monsoon storms all weekend. Is anyone ready for them?
1051,sign_2544, don't you just love getting called into work at 1 am ? ? ?,1, isn't it annoying getting called into work at 1 am ?
15827,sign_10831, lrt holy shit shocking unforeseen i'm baffled as to why,1, i'm not shocked saw it coming and not baffled as to why this event happened
13576,test_a_526,"It's a small thing, I have used Twitter for a while.

Never had  blue tick, or anything else granted me.

Someone must know.

Please ?",0,
1908,sign_3907, she's cute you should go for it you're right i should just fall in love get married and make ugly babies together,1, i don't want to fall in love and get married
3448,sign_9326, stellar pp by the pens,1, the pens blew it
3392,sign_7073, ready for my first blind date courtesy of the ' rents,1, not eager to go to my first date
13907,sign_19,best day of my life!,1,i have never had a worse day than this
14720,train_196,@raerenyse Easily one of the worst and most damaging takes for both trans AND cis women I have seen thus far. Congrats on reaching new levels of awful lmao,1,Easily one of the worst and most damaging takes for both trans AND cis women I have seen thus far. You have surprised me by reaching new depths of depravity via tweeting this.
12043,sign_1398, friends that ignore you in favor of a new bf gf are the best,1, friends that ignore you in favor of a new bf gf are the worst
6245,sign_9958, penguins really worked hard for those goals,1, the penguins get goals so easily
3032,sign_12446, i have another argument with our bangalore dev team to look forward to today yay go me,1, i'm not looking forward to the confrontation i need to have with the dev team
11220,sign_8163, what a great way to start my day,1, something bad happened this morning
6609,sign_182, 60 well spent then really,1, not well spent 60 pounds
14301,sign_13227, good morning everyone i feel well rested and ready for the day logging on cam soon for a brunch show see you there,1, good morning everyone i feel tired and not ready for the day logging out cam soon for a brunch show not going to meet you there
8042,sign_12009,i really love enrollments,1, i really hate enrollments
14444,sign_9893, pp for the penguins i wonder how this plays out ?,1, the penguins are clearly the better team
13945,sign_8042, when you find a bug in your spinach but at least it's organic and pesticide free,1, when you find a bug in your spinach it's inorganic and full of pesticide
17376,train_1946,I'm seeing Niall tomorrow!!,0,
9566,sign_3209, wb dc should stop making comic book movies amp let the other company just monopolize the genre,1, wb dc have monopolized this genre
12552,train_2268,Looking forward to seeing @ScottPilgrim this weekend,0,
9855,sign_5422, oh great just what i needed omg,1, the last thing i needed
10058,sign_10759, maybe baylor has room for him after msu kicks him out,1, maybe baylor has room for him after msu kicks him out
2233,sign_14175, based on the tweets on the ed sheeran trend it seems his fans are really quite intelligent,1, based on the tweets on the ed sheeran trend it seems his fans are really not intelligent
19238,sign_4545, everything is weird and i'm still picking through the effects of proton packs on the subtle bodies what the hell ? so unproductive,1, everything is weird and i'm still picking through the effects of proton packs on the subtle bodies what the hell ? so unproductive
16285,sign_2320, oh how i enjoy hearing the inebriated discuss politics,1, oh how i hate hearing the inebriated discuss politics
2049,sign_9153, thank you sbb blue tick kan saya at least i know i'm not what you looking for,1, phone apps can be a problem when searching for something else
802,sign_696, i think my neighbor is stalking me as she's been googling my name on her computer i saw it through my telescope last night,1, i think my neighbor values me as she's been googling my name on her computer i saw it through my telescope last night
7656,sign_1808, great start,1, great start
5739,train_412,Anyone else hear some like thunder or something?,1,Anyone else hear that thunder?
17855,sign_3239, busy morning ahead love filling up my weekend with errands and chores,1, busy morning ahead i don't like filling up my weekend with errands and chores
17583,test_a_1117,"Got the ball, never a pen.",0,
11638,train_2362,I’m not going to lie I didn’t realise haircuts or should I say “fresh trims” were so important to guys before lockdown💇🏻‍♂️😂,0,
10726,sign_9417, someone like ur post,1, someone dislike ur post
17082,sign_1401, you have over 10 k followers heaps of tweets and each tweets has like less than 80 likes ? bitch you bought your followers,1, you have over 10 k followers heaps of tweets and each tweets has like less than 80 likes ? bitch your followers are disinterested with your tweets
12759,sign_12531, i get to go for achievement badge tonight i've always want to fly straight into the middle of a tropical storm how cool,1, i don't want to fly i want to do the opposite of this
1240,sign_7747, yay ignorance,1, i hate ignorance
12861,sign_11043, lest we forget duquette gets paid handsomely to put this fine roster together,1, someone isn't desirving of the highest salary
8477,sign_12417, i haven't had alcohol for like a week thanks america,1, i have had alcohol for like a week thanks america
9006,test_a_668,Another takeover but can see why this makes sense and gives financial stability to one of the platform newcomers.  And not PE this time 🤣,0,
7791,train_3182,Idk how to explain it but watching snap videos takes energy,0,
3339,train_2556,IM GETTING MY NAILS DONE TODAY!!!!!,0,
2146,train_1442,Just walked past a girl wearing a yellow t-shirt that says 'Danny DeVito' on it. Now I can't think of anything else.,0,
19503,sign_14774, may be the cheapest form of humor but it's still the best value,1, may be the cheapest form of humor but it's still the best value
13830,sign_6416, listening to some corny songs in the train while some random baby keeps crying so much fun,1, listening to some corny songs in the train while some random baby keeps crying very irritating
1006,sign_9053, that game was too close for comfory,1, this game is a blowout
2478,sign_1601, just great another ' running late for class ' morning it just keeps getting better,1, just bad another ' running late for class ' morning it just keeps getting worse
7597,train_1092,@HarryrotterDB Yeah I'll probs try it out too.,0,
12403,sign_2531, i totally lead the rock n ' roll lifestyle,1, how i am bored of my current lifestyle and wish to have a rock and roll one
11196,sign_1885, today i went into a target bathroom and i lived didn't get inappropriately touched its a miracle,1, today i went into a target bathroom and i lived didn't get inappropriately touched its a miracle
2683,sign_3770, ok treadwell if you dont catch 120 passes 15 tds and 1300 yards you're a bust,1, ok treadwell if you dont catch 120 passes 15 tds and 1300 yards you're a bust
2312,sign_12814, hmmm any sports on tv tonight worth watching ?,1, much sports on tv tonight to watch
15678,sign_10405, nice to know people are there when you need them,1, i wish people were there when you needed them
10128,train_2001,"Random third grader pointed at me with her whole class lined up, “look, that’s the tallest girl in the world!”",0,
2710,sign_3197, with this weather looks like yard work and a run is out of the question darn,1, i am not dissapointed that with this weather i cannot work in a yard and run
7976,test_a_756,England's euros squad all flopping this season. Grealish poor again and hooked. You won't hear about it though,0,
8283,train_1824,keep the mics on pitchers always,0,
9607,sign_10943, lorry drivers are really nice people they put a decorative sign on car for free t t,1, lorry drivers are stupid and damaged my car
9466,sign_2556, guess what they are still being loud surprise surprise,1, a surprise aint a surprise if it is spoken out loud in public
9187,train_189,"""your pronouns are what's in your pants"" ok. juicy/dumper",1,Your pronouns are not what's in your pants
590,sign_8084, when he tweets about u,1, hate when he tweets about u
9815,sign_14748, that awkward moment when u switch to english only bcoz u cannot decide whether to address the other person as tu tum or aap,1, that awkward moment when u switch to english only bcoz u cannot decide whether to address the other person as tu tum or aap
10904,sign_2998, guys the sabres could have won if they just tanked the right way,1, guys the sabres could have won if they just tanked the right way
2072,sign_7993, who would have thought that the cavs play better at home,1, the cavs played like crap tonight
1160,train_1063,"Vaccine dose 1. Thank you, science.",0,
7034,sign_4557, was mr lussac a gay ?,1, mr lussac is gay
3562,sign_339, some people are just really brilliant,1, some people are just really appalling
8808,train_213,Hearing Kendrick Perkins refer to Alec Burks as Alecs Burk like he’s attorneys general &gt;&gt;&gt;&gt;,1,I would say I ahte him
17816,sign_6950, i can't wait for the arthritis in my knee to develop a little more so i can start walking like a penguin,1, i can't wait for the arthritis in my knee to develop a little more so i can start walking quite well
3566,sign_3895, does anyone know when the nfl draft is ? do you think carson wentz will get drafted by the time all is said amp done ? ? ?,1, does anyone know when the nfl draft is ? do you think carson wentz will get drafted by the time all is said amp done ? ? ?
5505,train_388,every time i send my mom pictures of me and one of my friends doing fun things the first question she asks is if we're on a date what are you trying to tell me mother,1,my mom thinks i'm dating every one of my friends whenever i send her pictures because she thinks i'm lonely. 
7624,sign_12151, i love scary movies by myself,1, i hate watching scary movies alone
9940,test_a_269,Crowdfunder to send Gillesphie back to Australia coming soon.,0,
996,sign_14526, a great way of starting your monday is to wake up late,1, waking up late is a horrible way to start a day
3903,sign_8286, welcome to summer anyone burnt yet ?,1, we are either all burnt or not burnt because there's been no sun
14895,test_a_872,I'm so glad that smart people are still refusing to wear masks in shops. Thanks to their selflessness it highlights that if we just ignore something it'll go away – don't know why we haven't all tried it.,1,
19835,sign_4757, sitting here gathering dust while reencoding uncompressed avi files into mp4s to clear up drive space fun fun fun,1, sitting here gathering dust while reencoding uncompressed avi files into mp4s to clear up drive space boring boring
14695,sign_4, best day of my life,1, i have never had a day worse than this in my life
14983,sign_10375, no one does it better than me,1, everyone does it better than me
18912,sign_102, s o to the girl that tripped me during 100 m hurdles amp didn't apologize my ankle feels great btw,1, s o to the girl that tripped me during 100 m hurdles amp didn't apologize my ankle feels awful
13005,sign_1631, not being at school for two days and being back today really makes me miss this place lol,1, not being at school for two days and being back today makes me hate this place
9854,sign_7911, with jackie bradley jr on paternity leave the red sox have called up rusney castillo he was mashing in paw with a 241 average,1, he's not a good replacement
7722,sign_5025, do it yourself,1, get help
14437,sign_5184, looks like he just murdered splinter that's family friendly,1, looks like he just murdered splinter that should be rated
6544,sign_3997, guys guess what ? ? ? i'm going to la in 8 hours i'm so excited i've never been there before i hope i see a celebrity,1, i don't care if i am going to see a celebrity in la
16027,sign_14435, aint that much shit in the world,1, aint that much shit in the world
19094,sign_11547, if you keep hurting the people who love you you'll find yourself surrounded by amazing people,1, if you keep hurting the people who love you you'll find yourself surrounded by horrible people
8661,sign_5061, a coloring book is a horrible gift for a toddler,1, a coloring book is a horrible gift for a toddler
2709,sign_5480, omg 18 salad my favorite sarcasm,1, omg 18 salad not my favorite
11246,train_668,@TheSpursExpress @JBurtTelegraph I've done this to my employer too. I'm expecting we'll both get the same answer,1,"""Football acts in such a strange way, with players asking for huge increases while already under a long contract"""
18094,sign_5376, i love when girls say fuck love but the moment they ex come back they all up on him then get heartbroken again amp let the cycle run,1, i hate when girls say fuck love but the moment they ex come back they all up on him then get heartbroken again and let the cycle run
10045,sign_2327, well done leicester i'm sure all their supporters are proud of vardy huth simpson fine role models,1, bad job leicester their supporters are not proud of vardy huth simpson bad models
18634,sign_6292, i love this new holding pen approach to security lineups at big airports,1, annoyed by this new holding pen approach to security lineups at big airports
11197,sign_4155, it's always a confidence boost when the bartender says how you don't look like your in your twenties yet,1, it's always a confidence boost when the bartender says how you don't look like your in your twenties yet
5101,sign_2792, a group of white ppl just gave me a genius explanation of why white privilege isn't real,1, a group of white ppl just gave me an idiotic explanation of why white privilege is real
16117,sign_720, in news on good vs evil today fabletic from kate hudson doesn't catch fire i think the bs ivy line would spontaneously combust,1, in news on good vs evil today fabletic from kate hudson doesn't catch fire i think the bs ivy line wouldn't spontaneously combust
3286,sign_3421, all a women wants is to be ignored like tf,1, all a women wants is some true attention
11960,sign_1556, great job america you have elected donald trump as the republican candidate for the presidency well done,1, bad job america you have elected donald trump as the republican candidate for the presidency poor job
9480,test_a_1131,Best wishes for a very speedy recovery .,0,
4096,sign_3490, i better be my great grandmothers favorite relative ever if not i quit ancestry lol,1, i better be my great grandmothers favorite relative ever if not i will face a lot in her hands
15349,sign_13994, but come to my store where everything is 50 off just so i can make my goals and not get in trouble please,1, but come to my store where everything is 50 off just so i can make my goals and not get in trouble please
18205,sign_5969, if at first you don't succeed you're a loser,1, if at first you don't succeed you're victory bound
408,sign_14834, laughs insanely its really fun to b controlled by anti,1, laughs insanely its really fun to b controlled by anti
6379,sign_6862, i love this great autumn weather in may it's great love it so much,1, i am annoyed by this horrible autumn weather in may
9944,train_2781,"I need to be on a beach, this sunshine is a tease",0,
5834,sign_6990, umpires not influenced by crowd at all,1, umpires is influenced by crowd
17205,sign_12237, i love how espn does such a good job telling us what anyone could notice windhorst is always clutch too,1, i hate how espn is just telling us what anyone could notice windhorst is always clutch too
9295,sign_4434, lost a 15 xbox card today awesome,1, oh no i lost a 15 xbox card today
15087,sign_12389, i just love going down my timeline to see one of my friends post negativety for the last 2 days,1, i hate the negative posts on my timeline
14638,sign_392, perfect freakin weekend to be sick,1, the worst days to become sick
2752,sign_8847, then a little disagreement at work can turn into an old texas drawdown,1, i hate disagreements at work
14973,sign_2261, love it when the hawks choke,1, hate it when the hawks choke
13285,sign_13264, god damn zuckerberg put ads on my instagram was my friendship not enough you just had to have an extra guest house,1, i am pissed off by adds on instagram as if facebook was not enough they had to add it to instagram as well
12602,sign_4675, time to great ready to fly to indiana later today yay,1, time to great ready to fly to indiana later today yay
13423,sign_12038,i meant 50 60 hours week w o ot pay is better than timesheets sorry not sorry firms can't take advantage of free labor anymore,1, i hate being taken advantage of at work
4685,sign_13482, early morning flights are the best,1, early morning flights are the worst
1938,train_2308,i got so much done at work today we are all proud of me today ok?? ok???,0,
8538,train_423,the only ppl who should be worried about Biden’s tax plan r the ones who get gifts for easter,1,We should all be worried about Biden's tax plan
7936,sign_7425, two minutes for that ? great job refs thankfully dumoulin is good,1, two minutes for that ? too bad refs thankful dumoulin is good
11219,test_a_595,Imagine Bawheid lying !!,0,
7488,train_1216,@VertigoTeaparty fashion souls! fashion souls! fashion souls at lunch!,0,
15131,sign_11635, i'm totally fine with being used as a means to an end you know like i don't have any feelings or anything,1, don't use me i have feelings
6237,sign_5277, luv seeing your name on my tl,1, hate seeing your name on my t
937,train_964,All these exams😭,0,
2845,sign_6919, she baby punish me tonight he deletes all her selfies from her phone,1, she baby punish me tonight he deletes all her selfies from her phone
15535,sign_6374, try to provide evidence on something on facebook receive flame war thank facebook,1, try to provide evidence on something on facebook receive flame war facebook is brutal
14675,sign_9615, skyvolt dies and jillow is now a thing great way to start the week,1, not a great way to start the week
1648,sign_3346, when i see congratulations for years of service like john doe completed 19 years in may i think they really had a busy month,1, when i see congratulations for years of service like john doe completed 19 years in may i think they really had a busy month
17928,test_a_1380,"Thank you so much for this lovely review, Mandy! I’m delighted you enjoyed it 🥰📚🎄❄️🎄",0,
17432,sign_5143, i had a dream that my best friend was dating my ex fling ha weird like that will ever happen,1, i realised that my best friend is dating my ex
14500,sign_11744, i'm shocked that there are continuing problems with the hartford yard goats stadium,1, it expected that there are continuing problems with the hartford goats stadium
10206,sign_3545, i absolutely love how my mom doesn't believe a damn word i say,1, i absolutely hate how my mom doesn't believe a damn word i say
761,sign_3397, another fun night in the emergency department,1, another stressful night in the emergency department
586,sign_509, i feel so sorry for the innocent bush family who've never done anything negative in their political campaigns,1, i don't feel sorry for the innocent bush family who've never done anything negative in their political campaigns
6391,sign_12840, hey hi i'm here to look pretty and insult your intelligence insert something insulting to your intelligence and hairflip here,1, hey hi i'm here to look pretty and insult your intelligence insert something insulting to your intelligence and hairflip here
14115,sign_3361, i love when my boyfriend texts me back,1, i hate being single forever
7063,sign_13542, don't you feel sad when people slowly walk away from your life when you actually want them to run,1, i feel sad when people people walk away slowly from my life when i want them to run away
481,sign_12302, i love arriving to a meeting and then wait for everybody else who is late,1, they always arrive late for meetings while i am punctual
18752,sign_14501, a short haiku it is 6 06 i have an exam today it is in 3 hours hooray for saturday exams at uni,1, a short haiku it is 6 06 i have an exam today it is in 3 hours saturday exams at uni are the worst
16660,sign_9104, thanks for the love couldn't live without you,1, i am sooo happy to live without you
9337,sign_13387, falling asleep to the delightful marijuana smells,1, falling awake to the boring marijuana smells
7586,sign_8378, waiting 4 him to apologize but he doesn't know he did something wrong because you didn't tell him because he should know,1, men don't understand the subtext of relationships
125,sign_5203, that's the way uh huh uh huh i like it the gym always needs kc and the sunshine band to pump us up,1, the gym needs a lot motivation to keep us going
720,sign_12761, how iv shot 4 today baffles me haha cheeky double and triple really makes me happy,1, that did not help my team at all
14157,test_a_451,Tips in hospitality during the festive season make it all worth it!,1,
713,sign_14740, that awkward moment when u switch to english only bcoz u cannot decide whether to address the other person as tu tum or aap,1, that awkward moment when u switch to english only bcoz u cannot decide whether to address the other person as tu tum or aap
15673,sign_8374, waiting in a line to then go wait again i do love government really,1, i hate waiting in line to get the government jobs done
19909,sign_9210, technical difficulties are the best,1, technical difficulties suck
3578,sign_6749, we're in third place time to panic,1, we're in third place no need to panic
5518,test_a_160,"13:48 2M0KZN/P (Jonathan) on GM/ES-080 (Cairn-mon-earn, 378m, 1 pt) 14.274 ssb: op jonathan, qrp, windy [SOTA Spotter] [2M0KZN]",0,
8857,sign_10979, listening to music while building a prize wheel for work my life is a riveting whirl of adventure the adrenaline the spontaneity,1, i live a pathetically monotonous life listening music while buiding a prize wheel for work
15507,sign_2773, i just love having to get my car towed on a sunday when i work the next day,1, i just hate having to get my car towed on a sunday when i work the next day
10122,sign_5178, supposed to start a new job today and i'm sicker than a dog this should be fun,1, feels awful to be sick and i was supposed to report to a new job
16884,sign_7398, empire ctf is the absolute best,1, empire ctf is the worst
5937,sign_11359, it's always a fun time when your fianc leaves you stranded at his house without a car,1, i feel pissed off my fiance left me alone in his home without a car
11553,sign_12994, great to see the efforts to stamp out that stupid goal kick tradition is working so well,1, stamping the goal kick tradition dosen't seem to yield anything good
16861,sign_14049, brattan signs with melbourne shitty didn't see that one coming,1, brattan signs with melbourne shitty definitely see that one coming hate it
6756,sign_2272, throw it to first delino maybe you can get him out,1, don t throw it first to delino
15162,sign_3740, you have a dt out of alabama and a dt out of la tech of course you'd select the guy out of la tech,1, you have a dt out of alabama and a dt out of la tech of course you won't select the guy out of la tech
6440,sign_6941, i looove getting 3 hours of sleep because two jobs,1, i hate getting 3 hours of sleep because two jobs
7212,sign_7681, yeah yeah you're already great can i go now ?,1, i'm done with this conversation because i don't think you're great
15048,sign_3464, tweet your personal shit that's very smart of you,1, stop tweeting your personal shit that's very dumb of you
8173,test_c_34,Boris just admit you went to that your party,0,
15574,train_1291,I just wanna know why God couldn’t have given me just a little bit of titty..???,0,
18974,test_a_817,so sorry for your loss ☹️,0,
8596,train_1755,bae calls me on FaceTime so we can keep each other company while we work on our art and honestly it’s so wholesome and motivating,0,
7330,sign_14488, after being sick i'm making my return to working out this wednesday i'm sooo excited for another leg day,1, i hate leg day
17531,sign_14008, broken water main in my apartment yippie that's something new,1, something always seems to break in my apartment
1757,sign_5521, 3 england strikers absolutely on fire guess who woy's gonna pick,1, 3 england strikers absolutely on fire guess who woy's gonna pick
17184,sign_233, such a classy move by espinoza to put on that monster hat and pin before going on camera,1, espinoza looks ridiculous with that monster had and pin knowing that he would be on camera
18987,sign_1175, oh yeah and vote us out of europe while you're at it great idea,1, oh yeah and vote us out of europe while you're at it bad idea
13243,sign_12734, i absolutely adore getting shit on because both bot and jungle feed the enemy adc all game i love league of legends so much,1, i absolutely adore getting shit on because both bot and jungle feed the enemy adc all game i hate league of legends so much
16210,sign_3309, i love how i bust my ass amp take no breaks while u slack off why not ? u got the weekend off 2 do nothing i gotta work who cares,1, i detest how i bust my ass and not take breaks while u slack off yet you got the weekend off to do nothing and i got to work
15986,sign_2059, just pulled 004 mbps on a download at work blazing fast,1, just pulled 004 mbps on a download at work the internet is very slow
18955,sign_11111, kane taking these corners is working well,1, kane on corners is not working
11526,sign_2386, oh i'm sorry i don't speak stupid,1, oh i'm sorry i speak stupid
8351,sign_12980, guyadami those negative rates working like a charm for japan,1, the negative rates are not working for japan
2627,train_3196,"Watched the #matthanock clip and immediately my mental health regressed, and not just cos he fucked the NHS",0,
13385,sign_9840, really shocked that umd couldn't close out on the men's lax championship,1, no surprise that umd lost
16560,sign_4224, oh and i forgot wearing a ball cap in church separates people from christ that's the problem,1, it is not like wearing a ball cap in church separates people from christ that's not the problem
3852,sign_3366, so overwhelmed with all my friends responding to me,1, it feels bad when none of your friends respond to you
1579,sign_4836, what a great day to start,1, could not get a worse start to a day
10563,sign_3495, heading to fort wayne for the speice run amp slam tourney for the 103 rd time in my coaching career,1, heading to fort wayne for the speice run amp slam tourney for the 103 rd time in my coaching career
7382,sign_10430, nice chinstrap,1, that chinstrap sucks
524,sign_6543, pretty soon it'll almost be too expensive for public transportation im just waiting on a 100 dollar monthly pass,1, pretty soon it'll almost be too cheap for public transportation im just waiting on a 100 dollar monthly pass
8827,test_a_851,"16:00 GMT: 
Temp: 13.2°C,
Wind: W, 2 mph (ave), 6 mph (gust),
Humidity: 90%,
Rain (hourly) 0.0 mm,
Pressure: 1015 hPa, rising slowly",0,
6143,sign_14805, 48 and 49 were in 11 talk at one point ah the mlb draft is so risk averse sarcasm,1, 48 and 49 were in 11 talk at one point ah the mlb draft is so risk averse sarcasm
3087,sign_10156, oh in the newsroom young reporter looking at an editor's roledex how do fit that into your iphone ?,1, oh in the newsroom young reporter looking at an editor's roledex how do fit that into your iphone ?
9646,sign_4128, the only thing better than watching nascar races on tv watching nascar qualifiers on tv,1, hate watching nascar races on tv
16804,sign_3069, this weekend has been a blast,1, this weekend has been so boring
13589,sign_9405, something about being in a predominately non 000 crowd of ppl rapping aloud nxgga in lyrics angers me i could be overreacting,1, ppl shouldn't rap along nxgga in lyrics
11709,sign_12149, i love shredding lettuce hahaha,1, i hate shredding lettuce
